"","lag.1","lag.2","lag.3","PE10.1","PE10.2","TARGET"
"57",-0.0301687005888293,0.0089637750423047,-0.0308923124974742,18.2,18.17,0.0673213556585189
"58",0.0263432852914237,0.0673213556585189,-0.0301687005888293,19.2,18.97,-0.0343901262604373
"59",-0.0343901262604373,0.0263432852914237,0.0673213556585189,18.1,19.2,0.0163231613746607
"60",-0.013128187477426,0.0163231613746607,-0.0343901262604373,17.66,18.14,-0.0328914044853587
"61",-0.0328914044853587,-0.013128187477426,0.0163231613746607,17.22,17.66,-0.0359070988897287
"62",-0.0359070988897287,-0.0328914044853587,-0.013128187477426,16.22,17.22,-0.107465930279831
"63",-0.107465930279831,-0.0359070988897287,-0.0328914044853587,14.69,16.22,0.000755561131844029
"64",0.000755561131844029,-0.107465930279831,-0.0359070988897287,14.67,14.69,-0.0391998792852285
"65",-0.0391998792852285,0.000755561131844029,-0.107465930279831,13.79,14.67,-0.0366486478005838
"66",-0.0366486478005838,-0.0391998792852285,0.000755561131844029,13.14,13.79,0.033527925167626
"67",-0.0147044299048406,-0.0819185586871537,0.033527925167626,12.33,12.51,-0.119125489387633
"68",-0.119125489387633,-0.0147044299048406,-0.0819185586871537,10.83,12.33,-0.064553920224539
"69",0.0459089482637022,-0.064553920224539,-0.119125489387633,11.33,10.59,0.0377113992931078
"70",0.0377113992931078,0.0459089482637022,-0.064553920224539,11.9,11.33,-0.0412024237262608
"71",-0.0412024237262608,0.0377113992931078,0.0459089482637022,11.55,11.9,0.0360710367173714
"72",0.0360710367173714,-0.0412024237262608,0.0377113992931078,11.98,11.55,0.0484336796788603
"73",0.0484336796788603,0.0360710367173714,-0.0412024237262608,12.45,11.98,0.0484432184142337
"74",0.0484432184142337,0.0484336796788603,0.0360710367173714,13.08,12.45,-0.00271366260244346
"75",0.031970182163399,-0.00271366260244346,0.0484432184142337,13.35,13.05,0.0380099612220453
"76",0.0380099612220453,0.031970182163399,-0.00271366260244346,13.88,13.35,-0.0149790991454823
"77",-0.0149790991454823,0.0380099612220453,0.031970182163399,13.7,13.88,0.00814217967918172
"78",0.00814217967918172,-0.0149790991454823,0.0380099612220453,13.69,13.7,0.0614970850957622
"79",0.0614970850957622,0.00814217967918172,-0.0149790991454823,14.44,13.69,0.0183739323285185
"80",-0.0331408190552337,-0.000706667858512944,0.0183739323285185,14.17,14.76,0.00952080462325009
"81",0.00952080462325009,-0.0331408190552337,-0.000706667858512944,14.34,14.17,0.0398432616210754
"82",0.0398432616210754,0.00952080462325009,-0.0331408190552337,14.65,14.34,0.0286971766280276
"83",0.0286971766280276,0.0398432616210754,0.00952080462325009,14.95,14.65,0.0134757393819852
"84",0.0101612145074493,0.0134757393819852,0.0286971766280276,15.23,15.04,0.0198345699693872
"85",0.0198345699693872,0.0101612145074493,0.0134757393819852,15.42,15.23,-0.00304158437225013
"86",-0.000105687755604844,-0.00304158437225013,0.0198345699693872,14.99,15.25,-0.0089229893256654
"87",-0.0089229893256654,-0.000105687755604844,-0.00304158437225013,14.75,14.99,0.00769546362870663
"88",0.00769546362870663,-0.0089229893256654,-0.000105687755604844,14.75,14.75,-0.0256140530768744
"89",-0.0256140530768744,0.00769546362870663,-0.0089229893256654,14.55,14.75,-0.0403910646553815
"90",-0.0403910646553815,-0.0256140530768744,0.00769546362870663,14,14.55,0.0203680326396523
"91",0.0203680326396523,-0.0403910646553815,-0.0256140530768744,14.05,14,-0.0284148736086659
"92",-0.0533367340250125,-0.0206213118935445,-0.0284148736086659,13.02,13.57,-0.0558952511913468
"93",-0.0558952511913468,-0.0533367340250125,-0.0206213118935445,12.34,13.02,0.0199914557193669
"94",0.0199914557193669,-0.0558952511913468,-0.0533367340250125,12.75,12.34,0.00273336197837324
